5, 5
2, 20, 5380.00, 3964.00, 2.91, 2.19, 0.99, 0.97, 0.05, 0.07
2, 20, 5380.00, 6682.50, 2.91, 3.33, 0.99, 0.99, 0.05, 0.04
2, 40, 13140.00, 15158.00, 3.52, 3.79, 0.99, 0.99, 0.04, 0.04
2, 60, 21120.00, 22881.50, 3.78, 3.81, 0.99, 1.00, 0.04, 0.04
2, 80, 28508.00, 31717.00, 3.72, 3.95, 1.00, 1.00, 0.04, 0.03
2, 100, 35360.00, 40298.50, 3.75, 4.02, 1.00, 1.00, 0.04, 0.03
5, 20, 2380.00, 1780.00, 3.03, 2.00, 0.97, 0.80, 0.11, 0.15
5, 20, 2380.00, 3268.10, 3.03, 3.90, 0.97, 0.94, 0.11, 0.08
5, 40, 5244.00, 6605.95, 3.48, 4.03, 0.98, 0.97, 0.10, 0.08
5, 60, 8161.00, 9878.75, 3.55, 4.05, 0.98, 0.98, 0.10, 0.08
5, 80, 10980.00, 12674.10, 3.56, 3.95, 1.00, 0.99, 0.10, 0.08
5, 100, 14640.00, 16295.65, 3.82, 4.04, 0.99, 0.99, 0.09, 0.08
10, 20, 1408.00, 1336.40, 2.98, 1.95, 0.75, 0.53, 0.19, 0.20
10, 20, 1408.00, 2050.15, 2.98, 4.39, 0.75, 0.81, 0.19, 0.13
10, 40, 2481.00, 3539.75, 2.92, 3.99, 0.86, 0.88, 0.21, 0.15
10, 60, 3816.00, 4809.70, 3.03, 3.67, 0.91, 0.90, 0.21, 0.17
10, 80, 4994.00, 6005.95, 3.14, 3.54, 0.92, 0.93, 0.21, 0.18
10, 100, 5994.00, 7413.80, 3.11, 3.53, 0.94, 0.94, 0.22, 0.18
