10, 10
5, 20, 5830.00, 4534.00, 2.75, 2.03, 0.96, 0.91, 0.05, 0.06
5, 20, 5830.00, 6524.50, 2.75, 2.82, 0.96, 0.95, 0.05, 0.04
5, 40, 17730.00, 21295.50, 4.15, 4.72, 0.99, 0.98, 0.03, 0.03
5, 60, 27530.00, 35440.50, 4.33, 5.29, 0.99, 0.99, 0.03, 0.02
5, 80, 45830.00, 49766.05, 5.40, 5.58, 0.99, 0.99, 0.02, 0.02
5, 100, 57970.00, 63088.50, 5.49, 5.66, 1.00, 1.00, 0.02, 0.02
10, 20, 3270.00, 3112.00, 2.82, 1.99, 0.90, 0.65, 0.08, 0.09
10, 20, 3270.00, 4000.80, 2.82, 3.10, 0.90, 0.85, 0.08, 0.07
10, 40, 9324.00, 12462.35, 4.23, 5.43, 0.94, 0.95, 0.06, 0.04
10, 60, 14370.00, 21672.50, 4.45, 6.37, 0.98, 0.97, 0.06, 0.04
10, 80, 22031.00, 30056.15, 5.19, 6.69, 0.99, 0.98, 0.05, 0.04
10, 100, 28032.00, 35970.50, 5.17, 6.40, 0.99, 0.98, 0.05, 0.04
20, 20, 1810.00, 2385.00, 1.00, 2.00, 0.28, 0.43, 0.15, 0.11
20, 20, 1810.00, 3173.15, 1.00, 3.47, 0.28, 0.58, 0.15, 0.08
20, 40, 6646.00, 8526.40, 4.79, 6.83, 0.73, 0.86, 0.08, 0.06
20, 60, 8924.00, 13673.00, 4.64, 7.67, 0.81, 0.91, 0.09, 0.06
20, 80, 13306.00, 17785.45, 5.24, 7.61, 0.84, 0.93, 0.08, 0.06
20, 100, 15617.00, 22174.80, 5.30, 7.67, 0.89, 0.95, 0.09, 0.06
