2, 20, 14190.00, 10300.00, 2.87, 2.09, 1.00, 0.99, 0.02, 0.03
2, 20, 14190.00, 14571.50, 2.87, 2.74, 1.00, 0.99, 0.02, 0.02
2, 40, 55590.00, 57493.50, 5.61, 5.41, 1.00, 1.00, 0.01, 0.01
2, 60, 97510.00, 101631.00, 6.53, 6.37, 1.00, 1.00, 0.01, 0.01
2, 80, 128590.00, 143758.00, 6.44, 6.76, 1.00, 1.00, 0.01, 0.01
2, 100, 159910.00, 182008.00, 6.37, 6.85, 1.00, 1.00, 0.01, 0.01
5, 20, 5230.00, 4383.33, 2.58, 2.01, 0.97, 0.89, 0.05, 0.06
5, 20, 5230.00, 6245.50, 2.58, 2.82, 0.97, 0.96, 0.05, 0.04
5, 40, 23250.00, 25928.00, 5.80, 6.03, 1.00, 0.99, 0.02, 0.02
5, 60, 37470.00, 44372.50, 6.23, 6.91, 1.00, 0.99, 0.02, 0.02
5, 80, 50834.00, 59390.00, 6.27, 6.95, 0.99, 0.99, 0.02, 0.02
5, 100, 67990.00, 79545.00, 6.65, 7.46, 1.00, 1.00, 0.02, 0.02
10, 20, 2870.00, 2787.00, 2.65, 2.05, 0.89, 0.72, 0.09, 0.10
10, 20, 2870.00, 3724.60, 2.65, 3.02, 0.89, 0.85, 0.09, 0.07
10, 40, 12590.00, 17050.95, 6.17, 7.85, 0.98, 0.96, 0.04, 0.03
10, 60, 21110.00, 27401.25, 6.91, 8.48, 0.98, 0.98, 0.04, 0.03
10, 80, 31952.00, 37701.55, 7.78, 8.80, 0.99, 0.98, 0.03, 0.03
10, 100, 39230.00, 47282.00, 7.76, 8.83, 0.99, 0.99, 0.03, 0.03
