2, 20, 9362.00, 8370.00, 2.48, 2.20, 1.00, 0.97, 0.03, 0.03
2, 20, 9362.00, 10328.50, 2.48, 2.39, 1.00, 0.99, 0.03, 0.03
2, 40, 24010.00, 25989.00, 3.09, 3.05, 1.00, 1.00, 0.02, 0.02
2, 60, 42550.00, 44067.50, 3.63, 3.44, 1.00, 1.00, 0.02, 0.02
2, 80, 61050.00, 61912.00, 3.89, 3.62, 1.00, 1.00, 0.02, 0.02
2, 100, 82010.00, 79103.50, 4.16, 3.72, 1.00, 1.00, 0.02, 0.02
5, 20, 4110.00, 3753.67, 2.62, 2.18, 0.95, 0.87, 0.06, 0.07
5, 20, 4110.00, 4736.65, 2.62, 2.64, 0.95, 0.94, 0.06, 0.06
5, 40, 10090.00, 12141.90, 3.25, 3.51, 0.99, 0.98, 0.05, 0.04
5, 60, 16658.00, 20541.75, 3.55, 3.97, 0.98, 0.99, 0.05, 0.04
5, 80, 23704.00, 27780.05, 3.79, 4.05, 0.99, 0.99, 0.04, 0.04
5, 100, 30340.00, 38358.05, 3.83, 4.47, 0.99, 0.99, 0.04, 0.04
10, 20, 2317.00, 2540.33, 2.48, 2.15, 0.80, 0.65, 0.12, 0.11
10, 20, 2317.00, 3034.75, 2.48, 2.93, 0.80, 0.81, 0.12, 0.09
10, 40, 6164.00, 7138.70, 3.64, 3.95, 0.93, 0.93, 0.09, 0.08
10, 60, 10044.00, 11835.80, 4.06, 4.45, 0.95, 0.95, 0.08, 0.07
10, 80, 13479.00, 16615.95, 4.11, 4.74, 0.96, 0.97, 0.08, 0.06
10, 100, 17781.00, 21429.20, 4.36, 4.92, 0.97, 0.97, 0.07, 0.06
